,URL_FULL,DATE,URL,cat_id,Website,cat_lvl_1,cat_lvl_2,cat_lvl_3,cat_lvl_4,cat_lvl_5
0,https://www.walmart.ca/en/browse/grocery/frozen-food/10019_6000194326337,2025-05-28,https://www.walmart.ca/en/browse/grocery/frozen-food,10019_6000194326337,https://www.walmart.ca,grocery,frozen-food,,,
1,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-appetizers-snacks/frozen-snacks/10019_6000194326337_6000202265715_6000207184843,2024-06-10,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-appetizers-snacks/frozen-snacks,10019_6000194326337_6000202265715_6000207184843,https://www.walmart.ca,grocery,frozen-food,frozen-appetizers-snacks,frozen-snacks,
2,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-bakery-dessert/frozen-bread-bakery/10019_6000194326337_6000194701706_6000202266651,2024-06-10,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-bakery-dessert/frozen-bread-bakery,10019_6000194326337_6000194701706_6000202266651,https://www.walmart.ca,grocery,frozen-food,frozen-bakery-dessert,frozen-bread-bakery,
3,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-fruit/10019_6000194326337_6000194327401,2024-08-29,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-fruit,10019_6000194326337_6000194327401,https://www.walmart.ca,grocery,frozen-food,frozen-fruit,,
4,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-fruit/frozen-berries-cherries/10019_6000194326337_6000194327401_6000208487293,2024-08-29,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-fruit/frozen-berries-cherries,10019_6000194326337_6000194327401_6000208487293,https://www.walmart.ca,grocery,frozen-food,frozen-fruit,frozen-berries-cherries,
5,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-fruit/frozen-chocolate-covered-fruits/10019_6000194326337_6000194327401_6000209250209,2025-04-23,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-fruit/frozen-chocolate-covered-fruits,10019_6000194326337_6000194327401_6000209250209,https://www.walmart.ca,grocery,frozen-food,frozen-fruit,frozen-chocolate-covered-fruits,
6,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-fruit/frozen-peaches/10019_6000194326337_6000194327401_6000208488025,2024-08-29,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-fruit/frozen-peaches,10019_6000194326337_6000194327401_6000208488025,https://www.walmart.ca,grocery,frozen-food,frozen-fruit,frozen-peaches,
7,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-fruit/frozen-tropical-fruits/10019_6000194326337_6000194327401_6000208487795,2024-08-29,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-fruit/frozen-tropical-fruits,10019_6000194326337_6000194327401_6000208487795,https://www.walmart.ca,grocery,frozen-food,frozen-fruit,frozen-tropical-fruits,
8,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-meals-sides/10019_6000194326337_6000194327413,2024-06-10,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-meals-sides,10019_6000194326337_6000194327413,https://www.walmart.ca,grocery,frozen-food,frozen-meals-sides,,
9,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-meals-sides/frozen-burritos/10019_6000194326337_6000194327413_6000207185454,2024-06-10,https://www.walmart.ca/en/browse/grocery/frozen-food/frozen-meals-sides/frozen-burritos,10019_6000194326337_6000194327413_6000207185454,https://www.walmart.ca,grocery,frozen-food,frozen-meals-sides,frozen-burritos,
